,LizAtlas.L_BF_ch1-3,LizAtlas.L_CMA,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,LizAtlas.L_vPut,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL,LizAtlas.R_vPut,L_Amy_BL_Complex,R_Amy_BL_Complex,L_Amy_CEN_Complex,R_Amy_CEN_Complex,LizAtlas.L_BF_ch4
LizAtlas.R_CMA,1.660774011193531,16.404254759786824,1.5248750662037602,7.3098873068617785,2.4885355874686024,3.8230856253669665,-3.4368836133839062,9.027574108725322,-2.2501201010703618,0.6840593255959109,2.967561544810203,-0.23153397043318794,1.5495468917227195,,0.27988155965547457,5.660601167553975,1.2177044110577573,6.556032161097307,-0.3180932961014317,12.740212786235011,-2.552087907899516,1.8933660537890382,3.832065518763849,2.2768204256539883,2.0656394458622325,2.443681255556975,1.778618108196434,1.7930925016193648
LizAtlas.R_GPi,2.033594612676259,0.25428525780851485,4.117848435168068,1.635348509539153,3.9144569598119343,1.1111250548143436,-1.3857625774284679,2.0360233204571867,1.6575228308915284,0.4413079738719568,1.5954389482875038,2.2851667942587404,5.434335876928077,0.27988155965547445,,0.3262091780603585,4.475471322637491,1.710068248027395,-0.8318625172731728,1.7750523929210051,2.140943429090326,0.8690391337701598,3.79983544097721,0.9985029415209036,0.9879259039713846,2.53759806608744,3.4777021840512474,3.0763298189093593
LizAtlas.R_M1_ul,3.1229794571470544,5.9597721498990275,-0.24043182134627025,11.508337833127364,0.9468869218826617,4.811691354588066,2.121442009194438,8.66935360715419,-1.8134923403497565,0.23546772988705816,1.6058629481512026,1.2619492166922808,2.0912126278059704,5.660601167553975,0.32620917806035843,,-0.5341356397608218,4.385077511906065,-1.2142664113315818,8.23273807884949,-0.005837970879351142,0.9139907075810993,2.0200913727192553,2.4148127124109684,3.0328484595232106,6.475580143491029,4.154150092470846,4.014428866707496
LizAtlas.R_NAc,2.8207465645150323,1.0541354179321833,0.3281618342857113,-0.10116348628521954,9.419067858699886,1.156928916775348,-2.3637952159121736,0.333609321853408,-0.36833036970730054,0.5176109700918965,8.21690312043679,6.297518840836864,3.717371281119397,1.2177044110577573,4.475471322637491,-0.5341356397608216,,0.6733425773652294,-1.8996402592902195,-0.5096399071297814,0.08530292075983639,2.2090158451318285,8.623492286758797,1.2170838684073721,1.2028028514622386,3.435366240937854,2.2624257121238514,3.769861014428211
LizAtlas.R_PMd,0.6565057783664409,6.228970349323816,1.0333467584364842,3.8326629757990247,0.26619971573878737,12.780341248098951,2.6544123446938883,7.851535785984211,-1.614862447738249,0.4936912150049441,0.3961801212566741,-1.0312134371144706,-1.3798003489251123,6.556032161097307,1.7100682480273954,4.385077511906065,0.6733425773652294,,7.4136288361894795,7.651286927083609,-1.1083249303243758,3.569197443251134,2.4127322468549504,-0.25839490828723183,0.6229265993688775,-0.8338219995277387,-0.32356517786572675,-2.075763644099996
LizAtlas.R_PMv,-3.590096792508604,-0.16963868565899576,-0.12735033300286197,-2.262236843827317,-2.462163172741363,3.721029086937289,9.187460439521551,1.3140973273167738,-1.2863437557014106,-0.3826761007045583,-0.9458825416729173,-2.9433730368628894,-1.7908526860569614,-0.31809329610143183,-0.8318625172731727,-1.214266411331582,-1.8996402592902193,7.4136288361894795,,-0.7761309959053493,-0.9486033460425912,3.1446156137161334,1.5899051423271293,0.8448086367113802,1.3774326903732266,-0.9821790760412245,-0.28113576007909885,-1.0535979415697263
LizAtlas.R_SMA,3.7333587884781645,15.047971982109031,1.3923124371664712,11.5505156144573,0.8156114917292376,6.8861643170848295,-0.5601724009337063,15.323746523935657,-0.20272731087465665,1.7152566179287392,0.9117943660481728,0.7593722519972316,1.9701842993538556,12.740212786235011,1.775052392921005,8.232738078849493,-0.5096399071297816,7.65128692708361,-0.7761309959053493,,-1.330530245079687,1.6543407650338104,0.8743438027516099,1.9685044188408887,2.855154449218886,4.445354397823187,3.761176186856022,2.4456831558420387
LizAtlas.R_STN,1.1627920023334708,-0.6075221695652776,-0.19484538472510868,-0.2574795120736902,-0.14724494189399354,0.5205981003284456,0.044761889713160995,-0.5605556595075006,2.2962375613734127,1.044298308413262,0.6951998181233785,1.2868648374876168,1.3481078212555797,-2.552087907899516,2.140943429090326,-0.005837970879351206,0.08530292075983655,-1.1083249303243758,-0.9486033460425916,-1.3305302450796865,,2.5040590619777103,1.2085334457697856,-1.1403268095933725,-0.3565838305424837,-0.10616058473466917,1.246637979141174,0.4383283811128682
LizAtlas.R_ThalVL,-0.38712568084505444,1.4434580335523817,1.7298835382008504,1.0226573359685813,1.124166237051642,2.79700086336937,1.5601226660669714,2.125777814692158,2.093754914866514,6.588660751381526,-0.0520248339252258,-1.1512219302260507,-0.9687840818157575,1.8933660537890382,0.8690391337701603,0.9139907075810988,2.2090158451318285,3.569197443251133,3.1446156137161334,1.6543407650338104,2.50405906197771,,0.5083663189626714,-1.4331005445211424,-1.9102359172521515,-2.5757966627795668,-2.2527066943761964,-3.276305682802308
LizAtlas.R_vPut,2.003435246367211,4.049303915211158,0.7109086370806329,0.4103427950452956,11.320463019492326,0.5825247572454765,-1.6368328423868266,1.5566184178248492,-0.7755988318321259,-0.38291437194391603,18.70629181927654,2.3380464026717576,6.010602697457677,3.832065518763849,3.79983544097721,2.020091372719255,8.623492286758797,2.4127322468549504,1.589905142327129,0.8743438027516099,1.208533445769786,0.5083663189626715,,0.8816601782528766,3.0636938645154537,4.820296800577107,3.194467539074237,7.615172889243652
L_Amy_BL_Complex,2.757718098848612,4.287657810958496,-0.10901516307771202,2.894099120940973,1.3925794538032175,0.24210974179273687,0.970562314970697,1.6710277755213114,-0.937175569293796,-1.1693009589345242,3.0937877559567397,3.310272028817578,5.563641095080625,2.2768204256539883,0.9985029415209038,2.4148127124109684,1.2170838684073717,-0.2583949082872321,0.84480863671138,1.9685044188408887,-1.1403268095933723,-1.4331005445211427,0.8816601782528762,,9.283781254685579,12.791646674397313,8.207605969350293,6.081957667553329
R_Amy_BL_Complex,2.1772047706064126,3.077515259548747,-1.2162159907942414,2.763595484559637,2.104258054931518,0.8953719131490409,1.2638956950207325,2.0868916677535405,-0.9355877928457111,-2.697670900489815,2.316825202384301,6.628482767020751,6.161937656140692,2.065639445862232,0.9879259039713846,3.0328484595232115,1.2028028514622384,0.6229265993688777,1.3774326903732264,2.8551544492188854,-0.3565838305424833,-1.9102359172521517,3.0636938645154546,9.28378125468558,,8.99149240763893,10.647129960869796,5.3620433178860445
L_Amy_CEN_Complex,4.699937139520454,4.338347503267269,1.6184605183902228,7.546908451621325,2.1542385102106527,-0.05167580887003367,-0.03253551733322761,3.878939089465912,-0.3860134104331004,-2.49155559624069,3.0752266946398694,5.476608903068135,8.397358962164,2.443681255556974,2.5375980660874404,6.4755801434910305,3.435366240937853,-0.833821999527739,-0.9821790760412247,4.445354397823187,-0.10616058473466877,-2.5757966627795668,4.820296800577107,12.791646674397313,8.991492407638928,,9.872013126910083,12.600452790685623
R_Amy_CEN_Complex,4.738838455070296,3.781992909428847,0.7852556700063318,5.508007453737749,1.472486300361313,-0.23893396667213426,-1.0063861387646627,4.355715762975281,-0.8927293291818365,-1.4076994437052914,3.9339330280716753,8.243753371220349,10.416424905348395,1.778618108196434,3.4777021840512488,4.1541500924708465,2.262425712123851,-0.3235651778657269,-0.28113576007909863,3.761176186856022,1.2466379791411744,-2.252706694376197,3.194467539074237,8.207605969350293,10.647129960869792,9.872013126910081,,7.857668670479089
LizAtlas.L_BF_ch4,5.230257894665653,3.017492308764142,2.208241687952293,4.552934676058642,5.301588798250007,-1.3283869596473201,-1.9146009972203177,2.6271906827609914,-1.2760336627443627,-0.5889441384892481,6.174561232189612,3.9957987615588517,10.140991813501657,1.7930925016193655,3.0763298189093584,4.0144288667074965,3.769861014428211,-2.075763644099996,-1.0535979415697263,2.4456831558420387,0.4383283811128685,-3.2763056828023074,7.61517288924365,6.081957667553329,5.362043317886045,12.600452790685623,7.857668670479088,
