,LizAtlas.L_BF_ch1-3,LizAtlas.L_BF_ch4,LizAtlas.L_CMA,LizAtlas.L_dPut,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,LizAtlas.L_vPut,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_dPut,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL,LizAtlas.R_vPut,L_Amy_CEN_Complex,R_Amy_CEN_Complex
LizAtlas.L_STN,0.9242279370488546,0.5920947836078899,0.20022191488900715,0.8111817262266926,0.2885388221178527,0.818922039425544,0.8210189722553612,0.8908235464893826,0.19586450367048855,0.917382491116783,,0.04756813950635783,0.8780404508775812,0.605237714070717,0.4854191611306473,0.12985633062805918,0.2850321376009815,0.15602822483118314,0.24807762268264455,0.8415249460784857,0.2705822811985003,0.40821157612878267,0.7356010591012568,0.07324514727730784,0.10762470610150716,0.9706762841609888,0.9533396289974284,0.9759120138555236
LizAtlas.L_ThalVL,0.3784573713154048,0.49045569558536073,0.036650036399736144,0.004601784421082322,0.21743973539472555,0.011167857049061288,0.13614084394862266,0.0033092308862677096,0.0043257563282416344,0.020652097784009144,0.04756813950635783,,0.0004965628959209653,0.4492480362739091,0.8482276266228312,0.31728963173597513,0.13386096225241106,0.4800234574913159,0.47205787765590873,0.721461156299626,0.7222393541913118,0.9890799959102939,0.03143789130597503,0.5919427073181912,1.2604545336528885e-06,0.20903462405782228,0.0626300854303074,0.8482276266228312
LizAtlas.L_vPut,0.4068608289053932,8.235008065499559e-06,0.0017659372085359329,3.422771127756411e-12,0.026465026388594704,0.02846925538404379,2.388798297542186e-09,0.005698965170880838,0.06877135526603784,0.004307116839614158,0.8780404508775812,0.0004965628959209653,,0.9890799959102939,2.2217729864879435e-05,0.006548077182787164,1.0572774930824785e-10,0.2610494037408397,0.060093466407300636,1.1240773542964393e-06,0.11243491382137309,0.2833790195224834,0.00777263236079466,0.6475481783158976,0.28681272147576187,4.559758533869625e-14,0.013923738132245903,0.01766275638165457
LizAtlas.R_BF_ch1-3,4.156618740304101e-11,0.021140100103703145,0.818922039425544,0.3912570168123109,0.2440076261012844,0.9706762841609888,0.004291264030840936,0.15362421658704348,0.00016808740027957764,0.5449461118181091,0.605237714070717,0.4492480362739091,0.9890799959102939,,0.019215280526097517,0.4040458805078152,0.11390828879811471,0.05896501088116599,0.87615767268468,1.5735313618005088e-05,0.15405275847962333,0.0030230977013084004,0.8908235464893826,0.23545306574468616,0.33922569660149693,0.9677729287084181,0.0018062626295756495,1.5735313618005088e-05
LizAtlas.R_BF_ch4,0.011260959727072164,1.7043047744397033e-08,0.20442479981308548,0.03880406381264832,0.08432199015978066,0.3537587157917404,0.0008988334076902904,0.46528076179586997,0.05131068314682123,0.27930078334175285,0.4854191611306473,0.8482276266228312,2.2217729864879435e-05,0.019215280526097517,,0.4068608289053932,0.020001589176185275,9.153383219773845e-05,0.31061334235938126,0.0010346692626105063,0.31168555238965695,0.16886022939675333,0.22085705717468282,0.25353777272677647,0.9978899753864117,1.2823237375986013e-05,8.326208702039192e-07,1.7168325271576414e-09
LizAtlas.R_CMA,0.33096033376122885,0.14906489031535033,1.8737198751187025e-13,0.08054237976304691,0.11051357419904098,1.5120353073221924e-07,0.07324514727730784,0.0004365182527870392,0.015696402008088882,4.381260849763024e-09,0.12985633062805918,0.31728963173597513,0.006548077182787164,0.4040458805078152,0.4068608289053932,,0.03192011446134393,0.7571131373425403,6.567874210538574e-06,0.32147208132432237,5.964786292654705e-07,0.9443798947724377,5.257935469464727e-12,0.12985633062805918,0.06877135526603784,0.0017659372085359329,0.10683412134327282,0.3563418800590852
LizAtlas.R_dPut,0.9564865361080602,0.00048412193050575275,0.01185048328290186,1.886300927733646e-12,0.7827508979033894,0.013703430142028463,0.03387470039443232,0.08471827882848418,0.11398694257668555,0.00037491539270976214,0.2850321376009815,0.13386096225241106,1.0572774930824785e-10,0.11390828879811471,0.020001589176185275,0.03192011446134393,,0.917382491116783,0.036650036399736144,0.036413839519193705,0.01668562216190257,0.0012303366378359226,0.00011501458465352417,0.9242279370488546,0.06877135526603784,3.3673175074180246e-13,0.22085705717468282,0.4068608289053932
LizAtlas.R_GPi,0.1456037305498923,0.022415190656818754,0.9905341994312329,0.6573255478777951,0.00031131210038932424,0.20442479981308548,0.0010376220640175135,0.2503336397694923,0.30067163074388903,0.10048132240431447,0.15602822483118314,0.4800234574913159,0.2610494037408397,0.05896501088116599,9.153383219773845e-05,0.7571131373425403,0.917382491116783,,0.8429613767329205,0.00014375593216250663,0.09932791611652197,0.5796694172276028,0.10203486826181067,0.07897128920391917,0.27930078334175285,0.014045319092001345,0.05088947051773851,0.004065017063477178
LizAtlas.R_M1_ul,0.10911863784057245,0.017169491378084215,3.9900641149491345e-06,0.05314302060736595,0.9890799959102939,6.632707251922216e-11,0.5940396708768931,9.16611279972952e-05,0.023132964815661523,2.2948247749008343e-08,0.24807762268264455,0.47205787765590873,0.060093466407300636,0.87615767268468,0.31061334235938126,6.567874210538574e-06,0.036650036399736144,0.8429613767329205,,0.701989787116252,0.0001660816974266598,0.5426775193445834,5.0815397659817344e-08,0.7175242879816539,0.20903462405782228,0.03368196572394201,1.633867011964011e-05,0.005865280690325114
LizAtlas.R_NAc,0.016723994001099,0.0018062626295756495,0.40874945038494404,0.20442479981308548,0.5500799949796445,0.9702838451304288,3.171064756012032e-09,0.36939590103749076,0.06877135526603784,0.6783395880090918,0.8415249460784857,0.721461156299626,1.1240773542964393e-06,1.5735313618005088e-05,0.0010346692626105063,0.32147208132432237,0.036413839519193705,0.00014375593216250663,0.701989787116252,,0.613570502151428,0.09989437646022152,0.9723066097090822,0.7718832189759676,0.02269123993468685,5.0815397659817344e-08,0.021570801242323637,0.11960168846682732
LizAtlas.R_PMd,0.8482276266228312,0.13256821065136634,7.288645887614478e-07,0.07324514727730784,0.2625956770053999,0.0005238234555770442,0.40830411352116924,8.296280651522985e-12,0.03368196572394201,1.3165782260745814e-07,0.2705822811985003,0.7222393541913118,0.11243491382137309,0.15405275847962333,0.31168555238965695,5.964786292654705e-07,0.01668562216190257,0.09932791611652197,0.0001660816974266598,0.613570502151428,,4.832867543159327e-07,1.3165782260745814e-07,0.5409935444605403,0.007343275488484272,0.00777263236079466,0.39109040961437147,0.9702838451304288
LizAtlas.R_PMv,0.0017659372085359329,0.6518422224919418,0.9149340101153314,0.0316300588391051,0.9301754742436353,0.16710354621067575,0.06462685756873549,0.002420867697714292,7.229823583329119e-09,0.07692191767515393,0.40821157612878267,0.9890799959102939,0.2833790195224834,0.0030230977013084004,0.16886022939675333,0.9443798947724377,0.0012303366378359226,0.5796694172276028,0.5426775193445834,0.09989437646022152,4.832867543159327e-07,,0.9905341994312329,0.701989787116252,0.014627935076601001,0.015328434810439686,0.13255537470119522,0.7367968828099459
LizAtlas.R_SMA,0.025348927618426904,0.05338131413157545,3.3661375549375297e-13,0.0008936533363433994,0.20442479981308548,3.305156134856551e-11,0.20602251303539837,4.832867543159327e-07,0.9651718494123301,5.37161126852265e-13,0.7356010591012568,0.03143789130597503,0.00777263236079466,0.8908235464893826,0.22085705717468282,5.257935469464727e-12,0.00011501458465352417,0.10203486826181067,5.0815397659817344e-08,0.9723066097090822,1.3165782260745814e-07,0.9905341994312329,,0.49045569558536073,0.08992089592952568,0.005516060978366326,0.0010090516593836217,0.01575348662500372
LizAtlas.R_STN,0.4068608289053932,0.6871236924132942,0.9702838451304288,0.7571131373425403,0.8320321710328666,0.9706762841609888,0.8864140373512233,0.5940396708768931,0.8111817262266926,0.8111817262266926,0.07324514727730784,0.5919427073181912,0.6475481783158976,0.23545306574468616,0.25353777272677647,0.12985633062805918,0.9242279370488546,0.07897128920391917,0.7175242879816539,0.7718832189759676,0.5409935444605403,0.701989787116252,0.49045569558536073,,0.05871553240429408,0.4872007152095291,0.6846897998359843,0.22048496254117747
LizAtlas.R_ThalVL,0.9242279370488546,0.06877135526603784,0.08752407455178965,0.13614084394862266,0.140010787992476,0.18793793844018425,0.14076624813837724,0.02847861238729379,0.20022191488900715,0.027627881128522474,0.10762470610150716,1.2604545336528885e-06,0.28681272147576187,0.33922569660149693,0.9978899753864117,0.06877135526603784,0.06877135526603784,0.27930078334175285,0.20903462405782228,0.02269123993468685,0.007343275488484272,0.014627935076601001,0.08992089592952568,0.05871553240429408,,0.11381928510467611,0.0722812104719323,0.4021172938579596
LizAtlas.R_vPut,0.3666052493932697,2.851580955576793e-07,0.0004965628959209653,8.57077366217424e-12,0.4040458805078152,0.09831909923117406,8.769170017182256e-11,0.18584479298725048,0.6756970796526341,0.0013358737213086526,0.9706762841609888,0.20903462405782228,4.559758533869625e-14,0.9677729287084181,1.2823237375986013e-05,0.0017659372085359329,3.3673175074180246e-13,0.014045319092001345,0.03368196572394201,5.0815397659817344e-08,0.00777263236079466,0.015328434810439686,0.005516060978366326,0.4872007152095291,0.11381928510467611,,0.0010346692626105063,0.026162049827030166
L_Amy_CEN_Complex,0.0008250441970838321,3.981980667332194e-12,0.00870152600256544,0.05871553240429408,0.02847861238729379,4.352821996250461e-05,0.1025626706924541,0.8482276266228312,0.5716830564689119,0.002632630104144739,0.9533396289974284,0.0626300854303074,0.013923738132245903,0.0018062626295756495,8.326208702039192e-07,0.10683412134327282,0.22085705717468282,0.05088947051773851,1.633867011964011e-05,0.021570801242323637,0.39109040961437147,0.13255537470119522,0.0010090516593836217,0.6846897998359843,0.0722812104719323,0.0010346692626105063,,6.842593267621601e-09
R_Amy_CEN_Complex,0.0002310503426581638,3.0709702756605577e-07,0.019802146252922922,0.4854191611306473,0.3267465974071478,0.0017659372085359329,0.5203418237054134,0.9657778208866528,0.25762273686419856,0.0030703893529399778,0.9759120138555236,0.8482276266228312,0.01766275638165457,1.5735313618005088e-05,1.7168325271576414e-09,0.3563418800590852,0.4068608289053932,0.004065017063477178,0.005865280690325114,0.11960168846682732,0.9702838451304288,0.7367968828099459,0.01575348662500372,0.22048496254117747,0.4021172938579596,0.026162049827030166,6.842593267621601e-09,
