,L_Amy_BL_Complex,L_Amy_CEN_Complex,LizAtlas.L_BF_ch1-3,LizAtlas.L_BF_ch4,LizAtlas.L_CMA,LizAtlas.L_dPut,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,R_Amy_BL_Complex,R_Amy_CEN_Complex,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_dPut,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL
LizAtlas.R_CMA,2.4098890152797585,2.280619437738472,1.1977088898995494,0.863860569621709,16.018335398886922,0.801444981340979,1.4873694791108807,7.637620138031844,1.2437428590782962,4.136207700469331,-3.189494354524596,9.199228739047978,-2.1605635501521756,0.6825499225999183,2.18757588056976,1.454513704222612,-0.6125380631172116,0.679730122016418,,1.2118242421202376,0.1289434820324329,5.776874010280898,0.24131803282637926,6.759936818918715,-0.34736449424797955,12.91295789094659,-2.765875021882865,1.8276869533756752
LizAtlas.R_dPut,-0.13891497276287965,-0.8927506201243235,-1.4898891154122487,0.16716023659783774,1.1853629361631852,15.281792667929528,-1.1346727691888687,2.1374430590363453,-5.910170048125187,-0.03377015879088865,1.6766737777849716,3.1728458701548923,1.6694235002438473,1.060440564961514,-0.2127427722668324,-1.53308958966378,-2.7927888762104276,-1.0342921830865601,1.2118242421202376,,-2.0340790268465065,1.3160251869139725,-4.379390241857703,1.3579084986060075,4.2674295296612135,4.36435757154585,-0.6161521039636944,1.5544955923964983
LizAtlas.R_GPi,1.134492535755988,2.3085492686165896,1.7492695455152585,2.9777669032432414,-0.0662421215387985,-0.5976396818845775,4.5866250187282915,1.4811759180845934,3.314577368036965,1.044491511337858,-1.5012115539377393,1.8099368807740477,1.47786193731921,0.6228689192888814,0.715202558676691,3.2851817046114187,2.280591430647282,4.62857497739883,0.12894348203243258,-2.034079026846507,,0.19978488428796087,4.034916872682148,1.3871035298478704,-1.0444068099002666,1.6057846490232095,2.1249494470796497,1.0945845241960601
LizAtlas.R_M1_ul,2.6589699106375493,5.990586646501555,2.891004763170481,2.839155846251638,6.028245709088157,0.979615431618696,-0.15830204890558375,11.43421618440228,0.242028682780691,4.913788989511744,2.7294834711490306,8.660427679356713,-1.7442756459058983,0.33986068087687515,3.0342639479161364,3.935210960499775,1.3107938915251987,1.4160202105821005,5.776874010280898,1.316025186913972,0.1997848842879611,,-1.5269633697737774,4.344538082468977,-0.976105491551674,8.311002354075601,0.0039036498177235394,0.8126482276299988
LizAtlas.R_NAc,0.932931478330776,1.643382411894028,2.970139269310358,2.4655509392239,-0.17286679701277347,-5.096460128864071,0.24768087527312085,-1.1893518012341382,9.010627885171427,0.6893405996682853,-3.009553502095872,-0.9303428147944419,-0.27817280053910326,0.17170581291909937,0.6802030066724555,1.2359698446112457,7.145127361604208,2.2331371674058236,0.24131803282637931,-4.3793902418577035,4.034916872682148,-1.5269633697737774,,-0.004998953474546614,-2.9194663211732976,-1.7081798933110541,-0.29164888243364295,2.1110421991609942
LizAtlas.R_PMd,-0.22691827152017274,-1.0292400241138087,0.18202935896557773,-2.381705858116402,6.266273592022118,1.0048256931460946,1.4283342099113472,3.9749360000747567,-0.37437924187133764,12.786632811154464,2.63537362234483,7.708138116599513,-1.7693746307256013,0.7509149475629461,0.3897757027113328,-0.405132099847535,-1.105732661810959,-1.7851757521929417,6.759936818918715,1.3579084986060075,1.3871035298478704,4.344538082468977,-0.004998953474546528,,7.430273222779891,7.524292686188906,-1.52653597701371,3.6391873475815806
LizAtlas.R_PMv,0.8829923881268597,-1.004768933467229,-3.4413703043626205,-0.9298956433129157,-0.15927404798608757,2.288734850086707,-0.13891900311731673,-1.9510462591014734,-3.344840371319344,4.007587602379889,9.563887207893014,1.638945352279616,-1.1480157741379309,-0.12057487185060156,1.2594053503166334,-0.2857388497471148,-3.1367584453553445,-1.8742466425603257,-0.3473644942479796,4.2674295296612135,-1.0444068099002664,-0.9761054915516737,-2.919466321173297,7.430273222779891,,-0.520321058249609,-1.4861488987873048,2.7522516100778605
LizAtlas.R_SMA,2.121572820779302,4.202019498705101,2.9002196803477753,1.6459632960980304,15.303652059772105,3.5786580370864423,1.1286504737364706,11.758811646580584,-0.16458176466597377,6.716890894921168,0.05473437232075841,15.670131571863028,0.0032841529777366475,2.1423293393530582,2.8969723811611847,3.190780319920602,0.3446415122090909,1.2617464813920645,12.91295789094659,4.36435757154585,1.6057846490232095,8.311002354075601,-1.7081798933110541,7.524292686188904,-0.5203210582496088,,-1.6486664418910586,1.7716791758267794
LizAtlas.R_STN,-1.3353643151647798,0.07400522443444418,1.2103442415354708,0.3845786744891329,-0.7941108434555636,-0.12796490050956666,-0.12703655003708417,-0.4024356078625851,-0.5081184289408494,0.21072494246427778,0.14734441496088885,-0.9142965424234613,2.228495985018333,1.2938798479516596,-0.41133886063156655,1.417015976872751,1.2376535698903155,0.7710381349932852,-2.7658750218828643,-0.6161521039636941,2.1249494470796497,0.0039036498177235394,-0.29164888243364295,-1.5265359770137101,-1.4861488987873035,-1.6486664418910582,,2.4601261428809833
LizAtlas.R_ThalVL,-1.399595291357415,-2.4305757064951976,-0.41306802802036824,-3.2133021237519035,1.477145629292513,0.641501405923286,1.5278134650449529,1.279030729864602,1.039529261678659,2.8671260831105556,1.48895446428994,2.316950652628125,2.178109767203668,6.752910635512503,-1.6692447537509751,-2.169516938034077,-1.306942214399259,-0.7804338977771167,1.8276869533756759,1.5544955923964983,1.0945845241960601,0.8126482276299988,2.1110421991609947,3.6391873475815792,2.7522516100778613,1.7716791758267794,2.4601261428809837,
