,LizAtlas.L_BF_ch1-3,LizAtlas.L_BF_ch4,LizAtlas.L_CMA,LizAtlas.L_dPut,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,LizAtlas.L_vPut,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_dPut,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL,LizAtlas.R_vPut,L_Amy_BL_Complex,R_Amy_BL_Complex
LizAtlas.L_vPut,0.48362843130475713,5.726468884769587,3.930947230567138,13.861364801757961,2.548676296746184,2.5533519745436415,9.40163779202001,3.5851298511497323,2.309667871330137,3.5044867522944387,-0.49345215983223073,4.411024847933354,,-0.6124287622748719,5.24659905802441,3.533025009993698,11.20476583361529,1.0786363112311408,1.9319268668602725,6.968569828254022,2.0110468706774864,1.6561921593202764,3.246422131731431,0.3296071739998897,1.2716266466106256,17.78342417012279,1.0226455078471255,0.19925037268751802
LizAtlas.R_BF_ch1-3,12.07907727330189,1.4630604210027254,-0.351638015067873,-1.7845175563554923,1.081325279842184,-0.8061801783576761,3.7909000382712827,-1.4791441828481127,-5.454192853133578,-1.7730038874364167,-0.6366780634473166,-0.8986495419039067,-0.6124287622748718,,1.5253367167960235,-1.1242887450458414,-2.409050021040496,1.612970227364659,-0.48753289728962934,6.2292884603431995,-1.3901419348014319,-3.2981748172635945,-0.7734422440786661,0.7917848746406878,-0.9384226817987217,-0.43385787495934575,0.5093061193142325,3.2132193781769165
LizAtlas.R_BF_ch4,1.8042747299685116,7.152083979388175,0.02483145238239279,2.301789948611037,0.8632332780188574,-0.45756863857959945,3.5630376021640577,-1.0881455017783708,-1.997866262435957,-0.2974553147831994,0.7072018088078892,-0.18811871180833234,5.246599058024409,1.5253367167960235,,0.39666868859624327,2.6169439824714256,4.045998656037002,-0.4649435018773157,3.0720625399811476,-1.3737656705230408,-1.2704193448582495,0.45611746177161955,1.0635969294404983,0.4311890576634234,5.2737213715101365,0.9326764680388047,1.181869952013761
LizAtlas.R_CMA,0.8743727129704549,0.5592994377314621,16.747226496443094,2.2700230392859004,1.576777475315306,7.944209618302171,2.2542966780619733,4.272681248376216,-2.8901308014506664,9.785997810653353,-1.8205848141380532,1.4556888225155933,3.533025009993698,-1.1242887450458412,0.39666868859624316,,2.8472535919503157,0.1456363482903365,6.259516767967479,1.385189548029106,7.032015708300282,0.12317649677364804,13.715900040621108,-2.164870712195588,2.724893197245562,4.135107013341275,0.8211049298325092,0.8674817748733517
LizAtlas.R_dPut,-0.384920909389557,4.222015708406381,3.0121265319092427,14.430935758249067,0.45452164686820856,3.055158199696162,2.8078413935908992,2.0939512588531612,1.8208040912716612,4.5144155348671875,1.1416220835712312,1.7728805417453557,11.20476583361529,-2.409050021040496,2.616943982471425,2.8472535919503152,,-0.30028859626654825,2.519785016714052,2.4176603197689004,2.9980058051203464,4.552633452004168,5.160429662702364,0.017507407321524542,2.261526612343283,15.691963405344435,0.23669034524742788,0.7412668297820418
LizAtlas.R_GPi,1.4448294111162525,1.7493868574799898,-0.42252142033787077,0.5608251283302038,4.588574893565013,0.992663457109274,3.432462689585389,1.5107039353358154,-1.3584254431111296,1.5404137090552665,1.682258128051536,1.0166674730311236,1.0786363112311408,1.6129702273646587,4.0459986560370025,0.14563634829033642,-0.30028859626654814,,-0.1420857905790214,4.637267547022764,2.433240946409404,-0.5841137407744409,1.4579512478148784,2.4704945630178097,1.6589755823139738,2.676673159211324,-0.740922184679257,-1.7966837683763508
LizAtlas.R_M1_ul,1.408176387996555,0.4699088212175401,6.410431183697394,2.232816335150294,-0.4399206287256649,11.698033769087479,0.6818249927021682,5.3350219685940425,3.0885520444504686,8.563045178630468,-1.568158474489802,1.1868488669201553,1.9319268668602723,-0.4875328972896297,-0.4649435018773157,6.259516767967479,2.519785016714052,-0.14208579057902176,,-0.6358135307653565,5.18812942196116,-0.3443787825992478,8.371793339237254,0.036130571365010085,1.6952879062363966,2.364295630619665,-0.31982004148655363,0.9698006665992791
LizAtlas.R_NAc,3.0593516625747847,3.02896138402792,0.8236703438298565,1.388971691548479,0.715595455337301,-0.32049087672597765,9.91831754878101,1.1741249089475376,-2.383045846866999,0.2475066341187806,-0.4999191569365514,0.46314525785495725,6.968569828254022,6.2292884603431995,3.0720625399811476,1.3851895480291063,2.4176603197689004,4.637267547022765,-0.6358135307653565,,1.1310005666375118,-1.9067232743685423,-0.23617147332480437,0.11859536078384583,3.2273190585206355,8.032376246222247,-0.14164669420739268,0.28221868827023056
LizAtlas.R_PMd,0.693388077979917,-1.3609008408939798,7.057639289620362,2.2717987665258286,1.371895222641051,4.6075236644545,1.7596632413976017,13.252912051945032,2.7564011217453968,8.41099194512638,-1.3123856653695898,0.6357719555827841,2.0110468706774864,-1.390141934801432,-1.3737656705230408,7.032015708300282,2.9980058051203464,2.433240946409403,5.18812942196116,1.1310005666375116,,7.63191556228755,7.910660176760166,-1.0596032776572115,3.3522428367163077,3.342744396139764,-0.07177326121158327,0.9001922253514499
LizAtlas.R_PMv,-3.741672515754587,0.24053998963966897,0.37413085885379765,3.0011140468856823,0.11772955399069268,-1.5811612641926625,-2.296272170050477,3.766211502873491,9.40357152262516,2.1791825280258847,-1.0511080816971852,-0.24249047105298818,1.6561921593202764,-3.298174817263595,-1.2704193448582497,0.12317649677364782,4.552633452004167,-0.5841137407744409,-0.3443787825992479,-1.9067232743685423,7.63191556228755,,0.2251351329797056,-0.6121884121910176,3.1211106708736813,3.4821650972358955,1.515485527915749,1.6795192484878234
LizAtlas.R_SMA,2.3517057862611375,0.4872195237634308,16.51660119666525,4.260747808660621,0.9970382035521245,12.146417728325687,1.5007113445551574,7.3040703234796265,0.23265895285704832,15.84868122893375,0.2947493661970325,2.9171355161578245,3.246422131731431,-0.7734422440786659,0.45611746177161994,13.715900040621108,5.160429662702365,1.4579512478148786,8.371793339237254,-0.23617147332480465,7.910660176760166,0.22513513297970583,,-1.2893230644991316,2.4174296771849204,3.3295230536349933,-0.08976291156060685,0.9756953192410971
LizAtlas.R_STN,1.1205006980609642,0.48449621363926826,-0.5067097918330999,0.32704068236967515,-0.10261169218461667,-0.3051722802265914,-0.3055952988319426,0.5736523255818199,0.24869765767800656,-0.5688479418098256,2.3243702386505887,1.0314100850447796,0.3296071739998897,0.791784874640687,1.063596929440499,-2.164870712195588,0.017507407321524355,2.4704945630178097,0.036130571365010154,0.1185953607838459,-1.059603277657212,-0.6121884121910177,-1.2893230644991318,,2.4661904590994213,0.6346599948111352,-1.01948268243424,-0.48352324386681794
LizAtlas.R_ThalVL,0.10429208898452146,-1.8426146240195258,2.3393770480533087,1.7965560729704122,1.8545757986193292,1.8660565191606855,1.9646264000445457,2.5217693969684167,1.3447563853017406,3.019687126207068,2.0810243247570157,6.949995840997087,1.2716266466106254,-0.9384226817987217,0.4311890576634231,2.724893197245562,2.2615266123432827,1.6589755823139738,1.6952879062363966,3.2273190585206355,3.3522428367163073,3.1211106708736813,2.4174296771849204,2.4661904590994217,,2.2231985173452027,-0.30257525410382613,-0.7930979349882938
LizAtlas.R_vPut,0.8578223141337796,6.692235915466923,4.307049360290605,13.05478686680167,0.9544961590379073,1.7749817721847767,10.8818403747109,1.629610334643962,0.5485965612999462,3.6804921536024118,-0.43553852760359757,1.7896894171894278,17.78342417012279,-0.43385787495934597,5.2737213715101365,4.135107013341275,15.691963405344433,2.6766731592113246,2.3642956306196656,8.032376246222244,3.342744396139763,3.482165097235897,3.329523053634994,0.6346599948111348,2.2231985173452022,,-0.792390801473147,1.0279806795446442
L_Amy_BL_Complex,0.14699552313449998,0.24285186343312257,1.2830117154155682,0.044355653170786054,-1.5695377420367969,0.7358515527743986,0.37341150398904327,0.25053728795833424,1.4664446805598235,-0.3061373277133848,-0.8837395297471745,0.19614365320216562,1.0226455078471257,0.5093061193142325,0.9326764680388047,0.8211049298325089,0.23669034524742752,-0.7409221846792572,-0.3198200414865535,-0.14164669420739254,-0.07177326121158291,1.515485527915749,-0.08976291156060669,-1.01948268243424,-0.3025752541038264,-0.792390801473147,,6.137316838290151
R_Amy_BL_Complex,0.48666940213413695,-0.4754136905633857,0.7732023864156733,-0.22127510213211518,-2.5608659677915906,0.6592926313942936,1.3915511525199895,0.9917724643669941,1.9183482548513429,-0.43506237684250243,-0.5409735498505177,-2.0969871908995206,0.19925037268751788,3.2132193781769165,1.1818699520137612,0.8674817748733517,0.7412668297820416,-1.7966837683763506,0.9698006665992797,0.2822186882702305,0.9001922253514498,1.6795192484878236,0.975695319241097,-0.4835232438668177,-0.7930979349882938,1.027980679544644,6.1373168382901495,
