,LizAtlas.L_BF_ch1-3,LizAtlas.L_CMA,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,LizAtlas.L_vPut,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL,LizAtlas.R_vPut,L_Amy_BL_Complex,R_Amy_BL_Complex,L_Amy_CEN_Complex,R_Amy_CEN_Complex,LizAtlas.L_BF_ch4
LizAtlas.L_vPut,0.16261603829232615,0.006571517987542,0.02337299881687014,0.43584839778299184,4.42549968542026e-09,0.09344046218791838,0.917429159802911,0.4330186289682931,0.648451331192005,0.031751269607036454,,0.19346270089928513,3.063371265079645e-05,0.019116146519736633,0.21295886392190896,0.20989159129287763,9.376884134236187e-08,0.7843057811541704,0.46765534152974364,0.48220618295545764,0.6048863408314189,0.9668407792007752,2.082978079424497e-14,0.01498798529335827,0.06911178517687593,0.015293679153541281,0.0022635242625017845,1.053153384246347e-05
LizAtlas.R_BF_ch1-3,1.3693990588646727e-10,0.31429772821950874,0.2812283706530069,0.4783824136532488,0.0023020968758806965,0.3486038186615662,4.3209214574820984e-05,0.8936029197789677,0.4438262591362332,0.3402571885315159,0.19346270089928513,,0.0006808789032055381,0.859578044633379,0.073144301562531,0.3373493922938998,7.968529808007066e-06,0.4330186289682931,0.02011402365101535,0.5610819420022063,0.32819266258790497,0.37616661584379996,0.06637658399906227,0.009193010121297066,3.7013336421220124e-06,5.2598097857217474e-05,9.376884134236187e-08,0.0019443739258820072
LizAtlas.R_BF_ch4,0.0017272554173193683,0.031857419072692975,0.14404658006133178,0.1108819799090966,0.0009636378584607077,0.5608934666995726,0.13347288229499654,0.2020726524052274,0.851381550612583,0.3701622478779506,3.063371265079645e-05,0.0006808789032055381,,0.22730218670382382,5.793822147006072e-05,0.10004200301547106,0.0034470377731494603,0.29277185294628827,0.1622059394928739,0.12062569985217332,0.3050263200307053,0.4590503475571507,1.4955484869207364e-05,4.3209214574820984e-05,1.0663581939686914e-05,6.808723274892595e-08,1.3878931965432048e-09,2.3359321330814446e-09
LizAtlas.R_CMA,0.19781902219025646,2.7350925582407755e-13,0.2365385496558671,6.904604323684646e-07,0.05029079282133,0.002806738485191429,0.006748102960895175,1.8380499190203128e-08,0.07651859932738522,0.6113658352122406,0.019116146519736633,0.859578044633379,0.22730218670382382,,0.846656594887067,3.5082767447444394e-05,0.3499626790213276,4.2587658751434135e-06,0.820120019027908,2.9448860965336784e-11,0.04502858729617227,0.13669874686922864,0.002770528367554604,0.07402046335031648,0.10375233266659938,0.05410345148729198,0.16443151197071554,0.1622059394928739
LizAtlas.R_GPi,0.10965812428649885,0.8531106999425514,0.0014746880185856593,0.2020726524052274,0.0023298470281009594,0.39413494654630515,0.2911586534937962,0.10965812428649885,0.19806773889951576,0.7565755670692119,0.21295886392190896,0.073144301562531,5.793822147006072e-05,0.846656594887067,,0.8180097035020047,0.0006452957426595682,0.18382875477118862,0.5218469218421127,0.16474216817726806,0.09344046218791838,0.5012147008541525,0.002952108095672998,0.4460955538540525,0.45137026583420997,0.04590715266739842,0.00622726274267616,0.015293679153541281
LizAtlas.R_M1_ul,0.01406287028468465,1.6777465977674665e-05,0.8583779503335301,2.0235402503309921e-10,0.46765534152974364,0.00028084887263394665,0.09608008882388054,3.8728638833748565e-08,0.1576042217262024,0.8587892481663896,0.20989159129287763,0.3373493922938998,0.10004200301547106,3.5082767447444394e-05,0.8180097035020047,,0.7015522681925269,0.0007896062324219737,0.3499626790213276,9.376884134236187e-08,0.9953849214190953,0.48220618295545764,0.11090304893313363,0.05693902186446486,0.016558080509595875,5.127365288580253e-06,0.001355349151739246,0.0018723769235602227
LizAtlas.R_NAc,0.02620375322925838,0.4251158562097549,0.8180097035020047,0.9378411140376975,9.048514169369405e-09,0.37427084216798295,0.06310166216977749,0.8168893925972822,0.7931339072926729,0.7091247741900485,9.376884134236187e-08,7.968529808007066e-06,0.0034470377731494603,0.3499626790213276,0.0006452957426595682,0.7015522681925269,,0.6175455425914089,0.13570480131135151,0.7091247741900485,0.9470422874704626,0.0827551066889146,4.1542058610999356e-08,0.3499626790213276,0.3536285623817933,0.006748102960895175,0.07545886076730521,0.003127985630234645
LizAtlas.R_PMd,0.6284468860211404,9.327969501195161e-06,0.4330186289682931,0.002770528367554604,0.852083791240215,2.9448860965336784e-11,0.036837831712569095,2.0804902457956553e-07,0.2074037712335379,0.7186785401680122,0.7843057811541704,0.4330186289682931,0.29277185294628827,4.2587658751434135e-06,0.18382875477118862,0.0007896062324219737,0.6175455425914089,,5.470172067256045e-07,3.296775211515418e-07,0.39433795289802775,0.004967172600968673,0.05693902186446486,0.8529141578575498,0.648451331192005,0.5218469218421127,0.8180097035020047,0.1021585716132845
LizAtlas.R_PMv,0.004751542272115491,0.8998881256506649,0.9265705580449446,0.07545886076730521,0.053027643099507464,0.0034470377731494603,1.3337505226664074e-08,0.3174391095741917,0.32819266258790497,0.7860571101760883,0.46765534152974364,0.02011402365101535,0.1622059394928739,0.820120019027908,0.5218469218421127,0.3499626790213276,0.13570480131135151,5.470172067256045e-07,,0.5529824245722194,0.46765534152974364,0.013563710145175866,0.21413985502191407,0.5162712516568554,0.29277185294628827,0.45350703961707234,0.846656594887067,0.4251158562097549
LizAtlas.R_SMA,0.003372294705003556,1.1257031587075233e-12,0.2891781358400566,2.0235402503309921e-10,0.5315429910352097,1.9601974815602593e-06,0.6829676554455978,9.659871899757697e-13,0.8804657977797108,0.18292729930463825,0.48220618295545764,0.5610819420022063,0.12062569985217332,2.9448860965336784e-11,0.16474216817726806,9.376884134236187e-08,0.7091247741900485,3.296775211515418e-07,0.5529824245722194,,0.312602653792603,0.19829457209264797,0.49927037719155976,0.12062569985217332,0.024315296452403302,0.0006808789032055381,0.003167537130015391,0.05410345148729198
LizAtlas.R_STN,0.3722913712653711,0.6582965356584185,0.8844080129845207,0.8529141578575498,0.9155188101196259,0.7091247741900485,0.9697575133428866,0.6829676554455978,0.07184854102490974,0.42944113138366113,0.6048863408314189,0.32819266258790497,0.3050263200307053,0.04502858729617227,0.09344046218791838,0.9953849214190953,0.9470422874704626,0.39433795289802775,0.46765534152974364,0.312602653792603,,0.049222115198470036,0.35179252666001326,0.3811234510240983,0.8004039622798507,0.9378411140376975,0.3402571885315159,0.7567234738075718
LizAtlas.R_ThalVL,0.7860571101760883,0.27066625485986245,0.1787859803034337,0.43584839778299184,0.3892654272037134,0.0275203767480185,0.22503398258608706,0.09576661758241357,0.10004200301547106,4.0059080964642035e-06,0.9668407792007752,0.37616661584379996,0.4590503475571507,0.13669874686922864,0.5012147008541525,0.48220618295545764,0.0827551066889146,0.004967172600968673,0.013563710145175866,0.19829457209264797,0.049222115198470036,,0.7091247741900485,0.27435692001731415,0.13355627938286574,0.04295012064917893,0.07651859932738522,0.009926090841462341
LizAtlas.R_vPut,0.11414584327746366,0.0017272554173193683,0.5949958754917243,0.7750047838505604,2.706144663965092e-10,0.6716593771309598,0.2020726524052274,0.22543644286208997,0.5529824245722194,0.7860571101760883,2.082978079424497e-14,0.06637658399906227,1.4955484869207364e-05,0.002770528367554604,0.002952108095672998,0.11090304893313363,4.1542058610999356e-08,0.05693902186446486,0.21413985502191407,0.49927037719155976,0.35179252666001326,0.7091247741900485,,0.4959544398769642,0.015603572058746658,0.00027852268983618683,0.012083663475182378,3.505012975985398e-07
L_Amy_BL_Complex,0.029758159767384978,0.0009732720618964918,0.9378411140376975,0.022488077433695543,0.2891781358400566,0.8583779503335301,0.4590503475571507,0.1959499924354931,0.47122063422137467,0.3701622478779506,0.01498798529335827,0.009193010121297066,4.3209214574820984e-05,0.07402046335031648,0.4460955538540525,0.05693902186446486,0.3499626790213276,0.8529141578575498,0.5162712516568554,0.12062569985217332,0.3811234510240983,0.27435692001731415,0.4959544398769642,,1.1211752322096355e-08,2.9448860965336784e-11,9.376884134236187e-08,1.2638478944998865e-05
R_Amy_BL_Complex,0.08792165797718784,0.015293679153541281,0.3499626790213276,0.02957120239868282,0.09904375584576296,0.48997810773812217,0.3373493922938998,0.10037602581362177,0.47122063422137467,0.03353049996920596,0.06911178517687593,3.7013336421220124e-06,1.0663581939686914e-05,0.10375233266659938,0.45137026583420997,0.016558080509595875,0.3536285623817933,0.648451331192005,0.29277185294628827,0.024315296452403302,0.8004039622798507,0.13355627938286574,0.015603572058746658,1.1211752322096355e-08,,1.9184884051189638e-08,9.16423182760811e-10,6.810173887037548e-05
L_Amy_CEN_Complex,0.00036321517082291084,0.0008717900336432383,0.20699483486816803,4.0371801676224645e-07,0.09178274109292389,0.9668407792007752,0.9768686293884011,0.0025084468654557866,0.7860571101760883,0.05029079282133,0.015293679153541281,5.2598097857217474e-05,6.808723274892595e-08,0.05410345148729198,0.04590715266739842,5.127365288580253e-06,0.006748102960895175,0.5218469218421127,0.45350703961707234,0.0006808789032055381,0.9378411140376975,0.04295012064917893,0.00027852268983618683,2.9448860965336784e-11,1.9184884051189638e-08,,3.927951226519683e-09,3.3827764169190356e-11
R_Amy_CEN_Complex,0.00033183718896140547,0.003061464277133779,0.5514785498189364,4.917420770758079e-05,0.2584160611951157,0.8583779503335301,0.4438262591362332,0.0008430373742483783,0.4900971985386935,0.28413225998125663,0.0022635242625017845,9.376884134236187e-08,1.3878931965432048e-09,0.16443151197071554,0.00622726274267616,0.001355349151739246,0.07545886076730521,0.8180097035020047,0.846656594887067,0.003167537130015391,0.3402571885315159,0.07651859932738522,0.012083663475182378,9.376884134236187e-08,9.16423182760811e-10,3.927951226519683e-09,,2.0804902457956553e-07
LizAtlas.L_BF_ch4,9.400167182409962e-05,0.017054266526726612,0.0827551066889146,0.0005315273216124829,7.883719856265959e-05,0.312602653792603,0.13347288229499654,0.0389653197091578,0.3324086593925584,0.6687074226586917,1.053153384246347e-05,0.0019443739258820072,2.3359321330814446e-09,0.1622059394928739,0.015293679153541281,0.0018723769235602227,0.003127985630234645,0.1021585716132845,0.4251158562097549,0.05410345148729198,0.7567234738075718,0.009926090841462341,3.505012975985398e-07,1.2638478944998865e-05,6.810173887037548e-05,3.3827764169190356e-11,2.0804902457956553e-07,
