,LizAtlas.L_BF_ch1-3,LizAtlas.L_BF_ch4,LizAtlas.L_CMA,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL,L_Amy_BL_Complex,R_Amy_BL_Complex,L_Amy_CEN_Complex,R_Amy_CEN_Complex,LizAtlas.R_dPut,LizAtlas.L_dPut,LizAtlas.L_vPut,LizAtlas.R_vPut
LizAtlas.L_ThalVL,-1.7104259857181077,-0.16253638869006345,2.3466326956979167,1.411744962003777,3.1836563430537224,1.4410318508227065,3.655031708252009,3.244017561040989,2.834671493339029,2.5278144061739707,,-1.3674770303538462,-0.9234071664057226,1.1933640158718442,0.7696916182399892,0.7266646886707971,0.4912830889378998,0.8846161600275705,0.05386237648732766,2.553193517120394,1.121602057839691,6.657297953155661,-1.1292790843672347,-2.5492250425290544,-2.389636796823062,-1.3059724710766112,1.698764149858198,3.3430016446899584,3.9828407102694516,1.2408538969472476
LizAtlas.R_BF_ch1-3,11.676293812462827,3.845581954459318,0.884644350959778,1.6574321644258219,0.7964864089804187,4.018308956266687,-1.2538815180972858,-5.2682895675780035,-0.3087842683878081,-0.8107485366453298,-1.3674770303538462,,4.094411433896109,-0.5966458734630942,2.2391511893814524,1.1334078400862926,6.591808981503586,-1.097146446805071,-3.0747485284586995,0.3508526526576398,1.1965711287943928,-1.502938081943895,3.0977643154292753,6.704027489223951,5.276359365860466,8.094692563186369,-1.7709038761151135,-1.0799797001369797,0.3773297304749017,0.5425510209374538
LizAtlas.R_BF_ch4,4.268956025743791,10.10892880374138,2.5703132097613177,1.5199219625325058,1.9045252952248857,5.086970134800117,-0.6850453398718971,-1.68213794412069,1.8160499734200402,0.3619124038638076,-0.9234071664057227,4.094411433896108,,1.3959309210721906,5.274707307612913,1.8773782949124058,4.282066068032584,-1.1568783574557326,-1.1176242755641506,1.9137676881460084,1.0782165193077673,-0.7431863753033605,5.483246956871987,6.123987290802161,8.107560872460027,10.565826053169515,3.21628414405185,2.8781700211585903,6.673880918763012,6.612073466720133
LizAtlas.R_CMA,1.1525006510678901,2.3207306202700493,16.65595574637233,1.8728670072534503,8.110635618942435,2.7465557199039776,4.32034478736138,-3.014418976189256,9.769392621373669,-1.8852066990016432,1.1933640158718442,-0.5966458734630942,1.3959309210721906,,0.44562438100673285,6.292733879508156,1.591079687110721,6.982369922379862,0.19898230238529782,13.663118812354574,-2.212713607815896,2.350246689242469,2.340087244017618,2.1695176850506517,2.7581128896362928,1.8409619634537129,2.964120296742736,2.3564753641102034,3.8995811165444603,4.583530676938555
LizAtlas.R_GPi,1.9404667548351333,2.8875074663127096,0.12678796127323946,4.451770282418557,1.5015429572047518,4.024766310095299,1.0901400649981934,-1.306788374844991,1.988637960759493,1.6564855111899364,0.7696916182399892,2.2391511893814515,5.274707307612913,0.4456243810067331,,0.3002639181645024,4.8180786184533275,1.8236604175842244,-0.6454594213420045,1.9418467982569403,2.1852677856641773,1.1520982620266782,1.0009945777289109,0.8534452700132849,2.6307100336963787,3.3797081986315556,0.011128817341014959,0.7429944060326384,1.5878630209584415,3.29123696429384
LizAtlas.R_M1_ul,2.7866694161794756,3.851635753802316,6.638309109000587,0.0013483976565248773,11.645324104806091,1.3863703400551324,5.271694999688793,3.002886500364901,8.754741524713264,-1.638575854012423,0.7266646886707977,1.1334078400862921,1.8773782949124058,6.2927338795081535,0.3002639181645025,,-0.28078274126093294,4.814378903304546,-0.6517624233126649,8.418718673558715,0.2391327916951136,1.2500281846103187,2.9014433414294314,3.347431942692305,6.6774417536832145,4.3233106874730565,2.5846934224780638,2.452967970186755,2.418089633796158,2.9631879897383917
LizAtlas.R_NAc,3.266371608277443,4.019428983910911,1.2587552784340106,0.7916741507304113,0.053887534465217476,9.993947688872883,1.4058567719479826,-2.2870990809258944,0.737011186024369,-0.34976927819666415,0.4912830889378998,6.591808981503589,4.2820660680325835,1.5910796871107207,4.818078618453328,-0.28078274126093306,,1.1460307273196964,-1.6619728374544864,-0.0019563961774458293,-0.030300940987529626,2.7243169777744973,1.5179597474555127,1.2772342215766814,3.7140338120449274,2.5932480172546737,2.4794629828586103,1.4569156556240164,7.062884719262649,8.231611761137222
LizAtlas.R_PMd,0.5493033090337439,-1.586019833443306,6.729547908089572,1.5197611612171391,4.238474719478996,1.1142846358607443,12.965949357552462,2.6808182239604643,8.105900292761353,-1.6333008661928694,0.8846161600275705,-1.0971464468050716,-1.1568783574557326,6.982369922379862,1.8236604175842246,4.814378903304547,1.1460307273196961,,7.446197415992905,7.636226992519255,-1.0527896466293154,3.572794854127809,-0.16307430097049339,0.7181594318903524,-0.6230781874272185,-0.0058699223186423,2.668694157790178,2.132997471193827,1.8668746325112628,3.2212093022593646
LizAtlas.R_PMv,-3.4927897683611935,-0.09416244166858531,0.3664729918090571,-0.045870090870253385,-1.6999344657563435,-2.0381239842437235,3.9081333400715352,9.379865361647386,2.1342446949898277,-0.892094991187629,0.05386237648732755,-3.0747485284586995,-1.1176242755641506,0.1989823023852978,-0.6454594213420045,-0.651762423312665,-1.6619728374544867,7.446197415992905,,0.0727214274393315,-0.7168118159946477,2.9566993787079676,0.9791526739703408,1.412865611557073,-0.7354710324005239,0.1258784253871246,4.530720319448934,2.885986308092355,1.6800476809350033,3.3531087189362276
LizAtlas.R_SMA,3.069369850305981,3.199003806178678,16.454076711975375,1.5909584861158268,12.197566062343443,2.314798916795409,6.969679336530157,0.13145818358426345,16.107699762274887,0.13430924944978972,2.5531935171203943,0.35085265265763976,1.9137676881460086,13.663118812354577,1.9418467982569403,8.418718673558718,-0.0019563961774462057,7.636226992519254,0.07272142743933127,,-1.0673598135787663,2.120041331855366,2.393405202183605,3.11421771410777,5.0880425855377345,3.9736529845449837,5.316885732803076,4.5750469865581485,3.6098408521749,3.811910081183005
