,LizAtlas.L_BF_ch1-3,LizAtlas.L_BF_ch4,LizAtlas.L_CMA,LizAtlas.L_dPut,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,LizAtlas.L_vPut,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_dPut,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL,LizAtlas.R_vPut,L_Amy_BL_Complex,R_Amy_BL_Complex
LizAtlas.L_STN,0.8780612223655931,0.4511427777776139,0.2617868863044068,0.8998244424266795,0.37815844876951554,0.8216493900737751,0.875286982371552,0.8689979022804641,0.23409558570743905,0.8998244424266795,,0.02141473248405272,0.7866161963101614,0.7104361546101366,0.6673428030699693,0.18056129288100517,0.4345065194233773,0.2184211670863261,0.2529661268045565,0.7866161963101614,0.34754803704800524,0.47450152549677854,0.8565477948874516,0.07804142210936171,0.11739917606666758,0.7992913477970617,0.5657330179720141,0.7623790592397057
LizAtlas.L_ThalVL,0.7104361546101366,0.21286949899966762,0.0316671079245996,0.00735391845491885,0.25165390431752344,0.007708217483676516,0.16157112859246,0.004341924858057347,0.014249020811001581,0.008627800802976825,0.02141473248405272,,0.000917764228877026,0.5563450721057653,0.8972923165055677,0.2923609965558254,0.1890690600052248,0.48915024996467016,0.4108246268235474,0.7937837819745241,0.7104361546101366,0.875286982371552,0.024388915990273943,0.4865572501313461,1.8980563352175864e-06,0.18729156795150767,0.8932272552942907,0.1153834211880249
LizAtlas.L_vPut,0.7866161963101614,3.6646423112827016e-05,0.0028276769498872937,4.622102728553927e-12,0.052520992222126896,0.05239223307548808,8.846680667126342e-09,0.0063556258022233825,0.08001814778884567,0.00735391845491885,0.7866161963101614,0.000917764228877026,,0.7235511809001154,0.00011876269060199089,0.0070016440516352755,2.768286086229587e-10,0.461052411340259,0.1529357182440032,1.862412167550137e-06,0.13267210510073157,0.22568630766916015,0.012658901992449147,0.8521092104191628,0.36569609667688247,7.394607405385689e-14,0.48884601757026863,0.8931809944422374
LizAtlas.R_BF_ch1-3,5.7647177534616686e-11,0.2914843166802981,0.8413554784866637,0.18808105909469988,0.461052411340259,0.60934020765253,0.003974183009512612,0.2862073550710867,7.247871334729015e-05,0.1890690600052248,0.7104361546101366,0.5563450721057653,0.7235511809001154,,0.26906757999314435,0.44119617827991375,0.06712711300531464,0.2392917563313418,0.7866161963101614,1.0187210202075932e-05,0.31714669218379166,0.011230249131305867,0.6245673072977718,0.6140913958673433,0.5324074761670267,0.7992913477970617,0.7866161963101614,0.013470610387216529
LizAtlas.R_BF_ch4,0.1853007884086783,1.28149924026983e-06,0.9829724777555238,0.0808217246456659,0.5751601169072109,0.7937837819745241,0.006643956742903639,0.4583235179902481,0.13544207455538723,0.8565477948874516,0.6673428030699693,0.8972923165055677,0.00011876269060199089,0.26906757999314435,,0.8216493900737751,0.045992763183606615,0.0021464990420041155,0.7937837819745241,0.018371987191398098,0.3219008918523473,0.36569609667688247,0.7937837819745241,0.46962418057834815,0.7992913477970617,0.00011268827645884414,0.5346364105899024,0.41224017764184795
LizAtlas.R_CMA,0.5708485172399509,0.7515567474754036,1.54117569317864e-13,0.08478677494789574,0.25165390431752344,2.0780312286496177e-07,0.08650666353568028,0.0012662179492183337,0.02580112591355093,4.259612344346722e-09,0.18056129288100517,0.2923609965558254,0.0070016440516352755,0.44119617827991375,0.8216493900737751,,0.028354124721022816,0.917538921452035,9.637524080448251e-06,0.3176869861132379,1.6326101153992973e-06,0.9292790950418396,5.006712854569166e-12,0.10132330634806591,0.036324324680902305,0.0017192900405055887,0.5996136756381485,0.5740387753836869
LizAtlas.R_dPut,0.825626588491445,0.0014055192442044785,0.020078272325943676,2.0598793601131953e-12,0.7937837819745241,0.018775858340988393,0.030886828903808086,0.1153834211880249,0.18056129288100517,0.0007072669394108799,0.4345065194233773,0.1890690600052248,2.768286086229587e-10,0.06712711300531464,0.045992763183606615,0.028354124721022816,,0.8565477948874516,0.05520625650494632,0.06638705905567828,0.020397401619807857,0.0006491680003954505,0.00014117624146182142,0.9861605585351886,0.08575968234696824,3.2496515331180065e-13,0.875286982371552,0.646402424223198
LizAtlas.R_GPi,0.2950470120611255,0.1955873268855075,0.8035357915777483,0.7515567474754036,0.0005996372274187517,0.5011369481152639,0.008537542213615966,0.2733879442563532,0.3252074401679984,0.2632339800144079,0.2184211670863261,0.48915024996467016,0.461052411340259,0.2392917563313418,0.0021464990420041155,0.917538921452035,0.8565477948874516,,0.917538921452035,0.0005449391672361909,0.06507626876298693,0.7428195834700121,0.2923609965558254,0.06077780619561912,0.22568630766916015,0.04034533715903328,0.646402424223198,0.18589507991394144
LizAtlas.R_M1_ul,0.3113292974942115,0.7932978330452491,6.683492512969852e-06,0.09000155628662541,0.7992913477970617,1.1179690780169868e-10,0.6838894041779547,9.761432794269345e-05,0.017817528409423716,5.579290677627523e-08,0.2529661268045565,0.4108246268235474,0.1529357182440032,0.7866161963101614,0.7937837819745241,9.637524080448251e-06,0.05520625650494632,0.917538921452035,,0.7104361546101366,0.00013620282425753455,0.8424337513983376,8.065982391633243e-08,0.9766113074282552,0.21439352601330774,0.07305922002936122,0.8531294988480436,0.513167188854021
LizAtlas.R_NAc,0.018768384991935318,0.019638646885530145,0.5996136756381485,0.31714669218379166,0.6627200598563789,0.8531294988480436,3.3672205718910173e-09,0.4154645112505493,0.07060517047059815,0.875286982371552,0.7866161963101614,0.7937837819745241,1.862412167550137e-06,1.0187210202075932e-05,0.018371987191398098,0.3176869861132379,0.06638705905567828,0.0005449391672361909,0.7104361546101366,,0.4385475205902333,0.15887898672434844,0.875286982371552,0.9292790950418396,0.01314047988151729,1.7426560228881861e-07,0.917538921452035,0.8645535307449008
LizAtlas.R_PMd,0.6765491941055526,0.3252074401679984,1.5766059124369633e-06,0.08478677494789574,0.3219008918523473,0.0005798942185093993,0.19285023983119773,9.356991593148404e-12,0.03400461392451632,7.648660241077597e-08,0.34754803704800524,0.7104361546101366,0.13267210510073157,0.31714669218379166,0.3219008918523473,1.6326101153992973e-06,0.020397401619807857,0.06507626876298693,0.00013620282425753455,0.4385475205902333,,4.1487047150964625e-07,2.175830649589841e-07,0.47047243719698384,0.010236962447761871,0.01036910112255982,0.9534002706816805,0.5563450721057653
LizAtlas.R_PMv,0.004341924858057347,0.875286982371552,0.82876016687536,0.020397401619807857,0.9292790950418396,0.25165390431752344,0.08121392248923309,0.004182207520750826,8.846680667126342e-09,0.0989437968068217,0.47450152549677854,0.875286982371552,0.22568630766916015,0.011230249131305867,0.36569609667688247,0.9292790950418396,0.0006491680003954505,0.7428195834700121,0.8424337513983376,0.15887898672434844,4.1487047150964625e-07,,0.8780612223655931,0.7235511809001154,0.01660443818211963,0.007695398421730294,0.27245005833828423,0.2184211670863261
LizAtlas.R_SMA,0.0745661261229877,0.7866161963101614,1.54117569317864e-13,0.0012870820828496771,0.5011369481152639,5.46461050920603e-11,0.27688464029221654,9.039444339022868e-07,0.875697388705178,3.185959487865826e-13,0.8565477948874516,0.024388915990273943,0.012658901992449147,0.6245673072977718,0.7937837819745241,5.006712854569166e-12,0.00014117624146182142,0.2923609965558254,8.065982391633243e-08,0.875286982371552,2.175830649589841e-07,0.8780612223655931,,0.35939727813660594,0.06638705905567828,0.010487191907907116,0.9415931252432208,0.5108697964609948
LizAtlas.R_STN,0.44186831578723784,0.7866161963101614,0.7866161963101614,0.8521092104191628,0.9338525418170001,0.8565477948874516,0.8565477948874516,0.746780295777216,0.875286982371552,0.7483893298908103,0.07804142210936171,0.4865572501313461,0.8521092104191628,0.6140913958673433,0.46962418057834815,0.10132330634806591,0.9861605585351886,0.06077780619561912,0.9766113074282552,0.9292790950418396,0.47047243719698384,0.7235511809001154,0.35939727813660594,,0.06088668315565905,0.7104361546101366,0.4891204023284452,0.7866161963101614
LizAtlas.R_ThalVL,0.9338525418170001,0.1750075246779449,0.07605925717890756,0.18589507991394144,0.17196551491219486,0.1691308053236285,0.14403985033637942,0.05520625650494632,0.3307804623176425,0.019898377543305385,0.11739917606666758,1.8980563352175864e-06,0.36569609667688247,0.5324074761670267,0.7992913477970617,0.036324324680902305,0.08575968234696824,0.22568630766916015,0.21439352601330774,0.01314047988151729,0.010236962447761871,0.01660443818211963,0.06638705905567828,0.06088668315565905,,0.09125570951430832,0.8565477948874516,0.6140913958673433
LizAtlas.R_vPut,0.5771981045750795,3.472460419765783e-06,0.0011735215546979033,1.2115363001287865e-11,0.5224511554272332,0.1890690600052248,4.997308285733322e-10,0.23455813398993078,0.7583098935125647,0.005026782234642407,0.7992913477970617,0.18729156795150767,7.394607405385689e-14,0.7992913477970617,0.00011268827645884414,0.0017192900405055887,3.2496515331180065e-13,0.04034533715903328,0.07305922002936122,1.7426560228881861e-07,0.01036910112255982,0.007695398421730294,0.010487191907907116,0.7104361546101366,0.09125570951430832,,0.6140913958673433,0.48701436406419907
L_Amy_BL_Complex,0.917538921452035,0.875286982371552,0.36149239846025644,0.9726669126333977,0.2529661268045565,0.6482298926564837,0.82876016687536,0.875286982371552,0.2912081857925767,0.8565477948874516,0.5657330179720141,0.8932272552942907,0.48884601757026863,0.7866161963101614,0.5346364105899024,0.5996136756381485,0.875286982371552,0.646402424223198,0.8531294988480436,0.917538921452035,0.9534002706816805,0.27245005833828423,0.9415931252432208,0.4891204023284452,0.8565477948874516,0.6140913958673433,,1.26673092578904e-05
R_Amy_BL_Complex,0.7866161963101614,0.7910931173930883,0.6245673072977718,0.8780612223655931,0.051926425514190314,0.7006490530414624,0.31714669218379166,0.5011369481152639,0.15618902168339535,0.7992913477970617,0.7623790592397057,0.1153834211880249,0.8931809944422374,0.013470610387216529,0.41224017764184795,0.5740387753836869,0.646402424223198,0.18589507991394144,0.513167188854021,0.8645535307449008,0.5563450721057653,0.2184211670863261,0.5108697964609948,0.7866161963101614,0.6140913958673433,0.48701436406419907,1.26673092578904e-05,
