,LizAtlas.L_BF_ch1-3,LizAtlas.L_BF_ch4,LizAtlas.L_CMA,LizAtlas.L_dPut,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,LizAtlas.L_vPut,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_dPut,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL,LizAtlas.R_vPut,L_Amy_CEN_Complex,R_Amy_CEN_Complex
LizAtlas.L_STN,-0.1690039130237485,-0.7225281919845504,-1.6021051810516669,0.3791380493932283,1.3276426853458072,-0.360293022767713,0.35486105866389595,0.22961277974479583,1.6188462071908172,0.18729397672901474,,2.4697014805486006,-0.2540442209231317,-0.6973336413046821,0.9078048256495546,-1.8782052610691804,1.3396412337000816,1.7538073473320137,-1.446747368911521,-0.3245509049978726,-1.3821940159353419,-1.0490416393380724,0.49210434079714427,2.219110978664178,1.9937140042436652,-0.06963544471114387,0.1231526652205134,-0.056628927721970944
LizAtlas.L_ThalVL,-1.1229915300792934,0.8922012374937245,2.5917338430850245,3.606233928744798,1.537715894672479,3.2117903238459458,1.8410987477868423,3.7522441919713576,3.6338900592503696,2.9036537165270806,2.4697014805486006,,4.583500160578711,-0.9764077083000952,-0.2999719152823752,1.2605913368207913,1.8538174628761164,0.9199759794187848,0.9343316119087614,0.5149753836322408,0.5112520892133776,0.028715525237627187,2.679949076227277,0.7253233843285466,7.041456199551875,1.5637955609915273,-2.3195959176350756,-0.3041041791880309
LizAtlas.L_vPut,1.0540041221710137,6.268606532459088,4.02687056895282,13.958864170497794,2.77018306890433,2.7306639048824657,10.031511149027837,3.5085102001294377,2.2635935196141412,3.639387091416155,-0.25404422092313184,4.583500160578711,,0.034146787392924954,5.846432782801239,3.443522094655738,11.63297201177388,1.4078692246681805,2.340982130804009,7.096137318779919,1.9625099699611905,1.3454572762369137,3.366176472605129,0.637225185308082,1.3335761586028678,18.13089693768923,3.1063284546742853,2.9804290894407446
LizAtlas.R_BF_ch1-3,12.252246476825485,2.890911019208211,0.36301967819849285,-1.0964288880182231,1.458580545616159,-0.07128037655285067,3.6446777773564847,-1.7666117427041572,-5.025232096354382,-0.7993651489405619,-0.6973336413046821,-0.9764077083000956,0.034146787392924836,,2.942739915801581,-1.0699978284361207,-1.9512504741328918,2.3549041545354052,0.25932723565896476,5.998680719472423,-1.762793881140842,-3.794763018917307,-0.22975586969673248,1.4812499689162089,-1.2095942098717736,0.09272201838396517,4.009128967341537,5.999768606086391
LizAtlas.R_BF_ch4,3.2050263209825807,9.026952065609548,1.5812453431478333,2.5615266789131987,2.1406072105583465,1.178342468990919,4.326918855042684,-0.9494632476435364,-2.430688706998822,1.3583516421299915,0.9078048256495549,-0.299971915282375,5.846432782801239,2.9427399158015812,,1.0569075512858137,2.9199630347086947,5.288384142125393,1.2783513755474925,4.258437270528352,-1.2738816522548788,-1.707676168816315,1.5241736558476966,1.4295002084233854,0.0026691213671985277,6.091658999356809,7.234995203724908,10.209475932718277
LizAtlas.R_CMA,1.2273874572331729,1.7845631601761336,16.657855018884757,2.167227010230792,1.9734078051145667,8.007958338310283,2.222042475067554,4.647576648377274,-3.0446051535355814,9.708891467163067,-1.8782052610691804,1.2605913368207915,3.4435220946557386,-1.0699978284361207,1.0569075512858137,,2.6677753206675208,0.4575209974648993,6.363466182840673,1.2501587875784403,7.3892368373259405,0.13716981439565037,13.58060126852164,-1.8763547763507937,2.261946656321035,4.030672963626718,1.9997753849119513,1.1713247452753333
LizAtlas.R_dPut,-0.1161297457005003,4.603595592248476,3.1812164888987793,14.391232470500427,0.42092496002596297,3.1161241176197287,2.6339316225546794,2.1358695065129187,1.9484984413396933,4.709718468889292,1.3396412337000814,1.853817462876116,11.632972011773878,-1.9512504741328913,2.9199630347086942,2.66777532066752,,-0.18542439855887125,2.5926983145647653,2.6000576573938377,3.0132544765439455,4.1814583852856435,5.190577170650413,0.1677991590257716,2.2610848384043782,15.812855615957961,1.5219739355945459,1.0536568706447553
LizAtlas.R_GPi,1.7990289041092078,2.8605107309151747,0.01528937723270408,0.6194452902969994,4.784486654839146,1.5813170404794508,4.2498753498733866,1.439186592993239,-1.3004888988463468,2.039430955614443,1.753807347332014,0.9199759794187846,1.4078692246681803,2.354904154535406,5.288384142125394,0.45752099746489955,-0.18542439855887133,,0.3198699305734766,5.09947530576235,2.0500108587037302,-0.7443034304589613,2.0270391714140263,2.1789901134760536,1.3564196759298024,3.0994771255404534,2.4370955534985135,3.669423588440407
LizAtlas.R_M1_ul,1.9820708904886202,2.9951786670730423,6.572573478143941,2.4123421014082322,0.030092862817171797,11.969187775821348,0.7147649016596294,5.281486302041965,2.8413423839858276,8.880612412096017,-1.4467473689115211,0.9343316119087614,2.3409821308040093,0.2593272356589648,1.278351375547493,6.363466182840673,2.592698314564765,0.31986993057347685,,-0.5445055607726279,5.035561633687465,-0.8050473545627008,8.510608178024386,0.5225781520082559,1.5619099316775922,2.6414985339950654,5.969818320287359,3.493672013089102
LizAtlas.R_NAc,3.0090983298410006,4.006658585070298,1.0433874400413667,1.5879649337182333,0.7897214478323367,-0.08604430728153087,9.878203526958242,1.1434799641402338,-2.27020532833788,0.5875841074702373,-0.3245509049978725,0.5149753836322408,7.096137318779919,5.998680719472425,4.258437270528352,1.25015878757844,2.6000576573938377,5.09947530576235,-0.5445055607726278,,0.6837713052792717,-2.044759093223391,-0.06436161782095152,0.43684416589674857,2.8523844242677265,8.507543821222797,2.8794896561876238,1.9222880407818923
LizAtlas.R_PMd,0.30370199063190767,-1.8611216609742287,7.2983441100978474,2.221595056687317,1.4020770343641737,4.558375553610437,1.0465023581511588,13.267004836585048,2.639171710471186,8.088011144525266,-1.3821940159353419,0.5112520892133776,1.9625099699611908,-1.762793881140842,-1.2738816522548786,7.389236837325942,3.0132544765439455,2.0500108587037302,5.035561633687466,0.6837713052792712,,7.484862950205902,8.078406460063748,-0.8099213253433982,3.395092452150288,3.3657080752589623,-1.09912130907338,0.08276478240244979
LizAtlas.R_PMv,-4.0241582390019905,-0.629085993152011,0.19460237793991575,2.6745023460916864,-0.1574801199571643,-1.715561823208055,-2.3026699066184144,3.8915643054647053,9.443310414167033,2.1938084826211925,-1.0490416393380726,0.028715525237627305,1.3454572762369132,-3.794763018917307,-1.7076761688163147,0.13716981439565018,4.1814583852856435,-0.7443034304589614,-0.8050473545627007,-2.0447590932233917,7.484862950205899,,-0.02154855599852648,-0.5477341135684131,3.0797429213974383,3.0575081447690793,-1.8635793149510222,-0.4878547323509015
LizAtlas.R_SMA,2.800152464157999,2.4076208962792047,15.999965869775767,4.333908723897752,1.581620923352755,12.414414132727508,1.5746101185030252,7.490819889065576,0.1023804652904624,15.371728105092192,0.49210434079714427,2.6799490762272775,3.366176472605129,-0.2297558696967324,1.5241736558476966,13.58060126852164,5.190577170650413,2.0270391714140272,8.510608178024388,-0.06436161782095182,8.07840646006375,-0.021548555998526658,,-0.8937300981102658,2.102617854057066,3.524863294614698,4.274134849155628,3.0398712029873507
LizAtlas.R_STN,1.0580129696942915,0.571178136542075,-0.07988956591705941,0.45995422490089566,-0.3387975782205512,-0.07572433795807654,-0.2410028174882238,0.7166798277349216,0.3753667822553112,-0.377234545694819,2.2191109786641783,0.7253233843285463,0.6372251853080819,1.4812499689162093,1.429500208423385,-1.8763547763507937,0.1677991590257718,2.178990113476053,0.5225781520082556,0.4368441658967487,-0.8099213253433982,-0.5477341135684133,-0.8937300981102658,,2.359517885596139,0.9019352031711394,0.5769342017829778,1.527610570246059
LizAtlas.R_ThalVL,-0.17284535635936185,-2.2661284492432987,2.117950775856538,1.8404792071737177,1.8238341729946523,1.6435382214769856,1.818708634892908,2.724771430075667,1.6039032384329897,2.746231800008019,1.9937140042436652,7.041456199551873,1.3335761586028678,-1.2095942098717736,0.0026691213671985277,2.261946656321035,2.2610848384043782,1.3564196759298026,1.5619099316775922,2.852384424267726,3.395092452150288,3.079742921397439,2.102617854057066,2.359517885596139,,1.9540574466406098,-2.2329658656119222,-1.07592389387334
LizAtlas.R_vPut,1.1507591549854714,7.733927847133705,4.588496050912042,13.199724022077874,1.067907946894451,2.0574414102734906,11.75878667794161,1.6519444132178516,0.593603242061872,4.1460822381650715,-0.0696354447111439,1.5637955609915266,18.130896937689226,0.09272201838396504,6.091658999356809,4.030672963626719,15.812855615957961,3.0994771255404543,2.641498533995066,8.507543821222798,3.3657080752589623,3.057508144769079,3.5248632946146965,0.9019352031711398,1.9540574466406095,,4.255487210001393,2.7839199159469774
L_Amy_CEN_Complex,4.368668863456732,13.801881959440967,3.314258747445094,2.3614579982348256,2.7254519291450294,5.579596667825593,2.022065397160331,-0.29871566181013187,-0.7576390889574897,3.855574960609577,0.12315266522051371,-2.319595917635075,3.1063284546742853,4.009128967341538,7.234995203724909,1.9997753849119513,1.5219739355945459,2.437095553498514,5.9698183202873585,2.8794896561876238,-1.09912130907338,-1.8635793149510222,4.274134849155626,0.5769342017829779,-2.232965865611922,4.255487210001392,,9.486605030735275
R_Amy_CEN_Complex,4.901084310590822,7.691748387987748,2.92722023692095,0.9070373004847633,1.237721133098192,4.023584632540083,0.8414928715178915,-0.09839771645421186,-1.417898055983683,3.784838890528686,-0.05662892772197117,-0.30410417918803107,2.9804290894407446,5.99976860608639,10.209475932718275,1.1713247452753333,1.053656870644755,3.669423588440406,3.493672013089103,1.922288040781892,0.08276478240244976,-0.4878547323509017,3.0398712029873507,1.527610570246059,-1.0759238938733402,2.7839199159469774,9.486605030735275,
