,LizAtlas.L_BF_ch1-3,LizAtlas.L_BF_ch4,LizAtlas.L_CMA,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL,L_Amy_BL_Complex,R_Amy_BL_Complex,L_Amy_CEN_Complex,R_Amy_CEN_Complex,LizAtlas.R_dPut,LizAtlas.L_dPut,LizAtlas.L_vPut,LizAtlas.R_vPut
LizAtlas.L_ThalVL,0.170298778933571,0.9185491862869491,0.057999302749478204,0.2568264940236139,0.010715381596384438,0.24671453193728946,0.003777161638018132,0.009531653365714423,0.022488376766709662,0.04059253523597626,,0.2713217249783668,0.4643072572310968,0.33894829560190975,0.5538400475651382,0.5771790151005914,0.7198689652239437,0.48299315738644366,0.9799694136004311,0.038756914594566066,0.3684735464094988,3.1342264937346984e-06,0.36528280901737487,0.038851697178791195,0.05378713130626755,0.2947228194669684,0.17273265292235324,0.007635370697190556,0.0017986994762992318,0.32032726784729126
LizAtlas.R_BF_ch1-3,1.1841434736424261e-10,0.0024512709624270445,0.48299315738644366,0.18200166873690193,0.5377810573383565,0.001652363908736448,0.3157088271486904,8.954934986214284e-05,0.8304955716271396,0.5292282638239445,0.2713217249783668,,0.0014009565098336237,0.6586801637576993,0.07023574502467703,0.3641007055848856,3.5111811002012436e-06,0.37896874057814434,0.013769810849761671,0.8051093595266868,0.33831463256862926,0.22579584718382448,0.013093847259253161,3.0066089530405423e-06,8.954934986214284e-05,1.1955915070499096e-07,0.15412147094920337,0.38523512697537643,0.792704566289704,0.6939945655379917
LizAtlas.R_BF_ch4,0.0009325725117767993,2.0386838432674056e-09,0.03760988825710964,0.22087289508774302,0.12610766844896554,0.00013445990479812192,0.5998129720534281,0.17753791162113478,0.14289873609210804,0.7992399777858665,0.4643072572310968,0.0014009565098336237,,0.2602659872814994,8.954934986214284e-05,0.13196449258531476,0.000909506218762772,0.35666574512100735,0.36957966208863013,0.12432422368115822,0.38523512697537643,0.5700481166982767,5.580643436433617e-05,1.0889151439824689e-05,1.194566364574355e-07,8.508268390002942e-10,0.010009583387534203,0.02037499633649915,3.0611912653957452e-06,3.393093288036201e-06
LizAtlas.R_CMA,0.3570580206770964,0.06050504030489995,1.9473393875621368e-13,0.13206479791441353,1.194566364574355e-07,0.02709758217297777,0.0008294041740800518,0.015665629581197726,3.764530446984846e-09,0.1305125538768296,0.33894829560190975,0.6586801637576993,0.2602659872814994,,0.7470008158086777,7.239396366729533e-06,0.19858710382960237,1.5746631499287034e-06,0.9038844662526171,5.824411932729223e-12,0.0740122928160897,0.0578270491073434,0.058551996688062574,0.07923247075791491,0.02652044972388508,0.1377644331327998,0.017309437823955883,0.05732276900243541,0.0021633678800361896,0.0004458133857506297
LizAtlas.R_GPi,0.11883425185065574,0.020115774259378143,0.9396425881566782,0.0005955135627547649,0.22579584718382448,0.001652363908736448,0.38184355738360315,0.2947228194669684,0.11062246945897349,0.18200166873690193,0.5538400475651382,0.07023574502467703,8.954934986214284e-05,0.7470008158086777,,0.835413276687075,0.00025975401627183485,0.14194314394821453,0.6263011728294959,0.11883425185065574,0.07740011407783301,0.3570580206770964,0.4267672260362135,0.5011509472250981,0.033980861345077926,0.007108343423651151,0.9980858470959366,0.5700481166982767,0.19891435403450508,0.008642983940980163
LizAtlas.R_M1_ul,0.02497870798454645,0.0024332129383804993,3.2301795621153458e-06,0.9989340481520589,1.1877904202874226e-10,0.26364648463469426,8.954934986214284e-05,0.01601134246830179,3.08641227181226e-08,0.18570746267407348,0.5771790151005914,0.3641007055848856,0.13196449258531476,7.239396366729533e-06,0.835413276687075,,0.8472383827164816,0.00025975401627183485,0.6232176458737914,6.355487676263975e-08,0.8730165729911216,0.3166454602112253,0.01961659073373128,0.007604662191147338,3.0611912653957452e-06,0.0008294041740800518,0.03657878651564814,0.04737917969902394,0.05098817253651096,0.017309437823955883
LizAtlas.R_NAc,0.0090732573163362,0.001652363908736448,0.3152944159593276,0.5396615300802907,0.9799694136004311,2.40655969169399e-09,0.2585392341175632,0.06419278570993166,0.5723352112725663,0.8051093595266868,0.7198689652239437,3.5111811002012436e-06,0.000909506218762772,0.19858710382960237,0.00025975401627183485,0.8472383827164816,,0.3591596848603553,0.18153586864097251,0.9989340481520589,0.9920133551037298,0.028230336506206457,0.22087289508774302,0.30797147357437,0.0033183272199999204,0.03625578632756006,0.044851642642275494,0.24167522031404973,1.3130124493137278e-06,9.609585248231534e-08
LizAtlas.R_PMd,0.6923598792270713,0.19891435403450508,2.874777334787992e-06,0.22087289508774302,0.0009823972405757582,0.3703266656866396,1.6359229583931238e-11,0.030917301311809503,1.194566364574355e-07,0.1864525780928936,0.48299315738644366,0.37896874057814434,0.35666574512100735,1.5746631499287034e-06,0.14194314394821453,0.00025975401627183485,0.3591596848603553,,5.263348120222514e-07,3.3743173764283996e-07,0.3977858242404494,0.004530634861924737,0.9185491862869491,0.5811860927900804,0.6399742656284334,0.9989340481520589,0.0316275507900985,0.08337527898572825,0.13308403792279644,0.009954790562614245
LizAtlas.R_PMv,0.005442558100389584,0.9564579928737225,0.7975390206333645,0.9841123292618789,0.17273265292235324,0.10034871639293164,0.002152283426750632,8.257963758631459e-09,0.08337527898572825,0.4808064636711733,0.9799694136004311,0.013769810849761671,0.36957966208863013,0.9038844662526171,0.6263011728294959,0.6232176458737914,0.18153586864097251,5.263348120222514e-07,,0.9716001755513564,0.5811860927900804,0.01747503377593288,0.43786148691476157,0.2568264940236139,0.5723352112725663,0.9396425881566782,0.00048693144583509244,0.020115774259378143,0.17754121957407887,0.0075504898096498815
LizAtlas.R_SMA,0.013862303157504904,0.010381679876365443,1.9473393875621368e-13,0.19858710382960237,4.679848834679718e-11,0.0609991361163031,1.5915539512788662e-06,0.9395869429200634,2.4643729992457103e-13,0.9395098681389397,0.038756914594566066,0.8051093595266868,0.12432422368115822,5.824411932729223e-12,0.11883425185065574,6.355487676263975e-08,0.9989340481520589,3.3743173764283996e-07,0.9716001755513564,,0.3903900348311303,0.08530468218090502,0.053610872391285314,0.01265446039877501,0.00013445990479812192,0.0018266018010049737,8.32409673693629e-05,0.00044719298947978675,0.004213681471709548,0.002655260175334381
