,L_Amy_BL_Complex,L_Amy_CEN_Complex,LizAtlas.L_BF_ch1-3,LizAtlas.L_BF_ch4,LizAtlas.L_CMA,LizAtlas.L_dPut,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,R_Amy_BL_Complex,R_Amy_CEN_Complex,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_dPut,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL
LizAtlas.R_BF_ch4,5.039612223875724e-05,1.9363228582940328e-07,0.0015060002118983701,6.906306439233782e-09,0.286740845077497,0.3107330357949745,0.34970169308845994,0.3499108576649689,0.04857396758093177,0.33024080813127354,0.10218818126139245,0.7031162306706743,0.79097295782114,0.3499108576649689,3.8203011289250344e-05,1.5353934912349065e-09,0.00258705956950017,,0.6268337922935696,0.4391244383966098,0.0005038284660247449,0.29165488372770443,0.08749172215337532,0.1867553238897163,0.1614498980223822,0.3499108576649689,0.5836729758048291,0.5813905331738637
LizAtlas.R_CMA,0.06404499057956808,0.08152339279157053,0.3665225995689227,0.5279633361927263,7.744096087229654e-13,0.570144986340244,0.2704595153168236,3.9590517995193045e-07,0.35178289149017644,0.0015542682475885815,0.013185333935388564,1.5398682958415794e-08,0.09824835169192857,0.6268337922935696,0.0952235639113884,0.2796677105418031,0.6627844076191329,0.6268337922935696,,0.36213996435294343,0.929356220739765,3.005395940284487e-05,0.891301915718135,2.9721296766532635e-06,0.824663306432611,2.8680560090260874e-11,0.03108519063661864,0.1738987461668261
LizAtlas.R_dPut,0.92734781698387,0.5146747145540005,0.2704595153168236,0.9212177921416028,0.36930328504581167,7.744096087229654e-13,0.3951362041633763,0.10185129948278757,2.2035558230799708e-05,0.989007382658792,0.21786094182763843,0.013613671883834834,0.21786094182763843,0.4287909081833851,0.9066397434883777,0.25790947496906247,0.02963645720815223,0.4391244383966098,0.36213996435294343,,0.12104399909551988,0.3313941117004768,0.0008830480377917598,0.31483043859184046,0.0011414143984178715,0.0009061526442080658,0.662054018497267,0.2501847760059861
LizAtlas.R_GPi,0.3951362041633763,0.07848402873513463,0.19563138211195658,0.02104015840884733,0.9707871153586042,0.6724768553896526,0.0005462730492628614,0.2708823419099475,0.010324727652718942,0.43585298289286634,0.2685023779424589,0.1790023427300474,0.2708823419099475,0.660078600212071,0.6200531091950583,0.01100694193952793,0.08152339279157053,0.0005038284660247449,0.929356220739765,0.12104399909551988,,0.9132067398983142,0.001980799532857021,0.3023235040862999,0.43585298289286634,0.23016806301183163,0.10261355628191246,0.41356358064685883
LizAtlas.R_M1_ul,0.03905050571746309,1.8217871841860796e-05,0.024414924106188368,0.026743028585516075,1.7264612395866378e-05,0.4651929644856738,0.9212177921416028,2.3410950333937247e-10,0.891301915718135,0.0002460007447842171,0.03334507337754065,4.270198829746736e-08,0.196157840410532,0.8262061521610572,0.018835473969503656,0.0023978133375826545,0.3317283950799906,0.29165488372770443,3.005395940284487e-05,0.3313941117004768,0.9132067398983142,,0.25790947496906247,0.0009420201775778827,0.4658467451347076,9.311692366267654e-08,0.9974037751464049,0.5637093596949043
LizAtlas.R_NAc,0.4921711698443392,0.22262258468231388,0.021241175615422055,0.05820339588107413,0.9212177921416028,0.00015864763117362513,0.8911242055506988,0.36844586872806495,2.0763315951425698e-08,0.6268337922935696,0.019827812468254345,0.4921711698443392,0.8705105611336197,0.9212177921416028,0.6268337922935696,0.35329026564009436,1.1923352883349997e-06,0.08749172215337532,0.891301915718135,0.0008830480377917598,0.001980799532857021,0.25790947496906247,,0.9974037751464049,0.0236017435580117,0.20691256567406452,0.8642379052771136,0.10435090011678012
LizAtlas.R_PMd,0.9008415309208821,0.4407641127794044,0.9212177921416028,0.06771515108479274,9.468946079260287e-06,0.45016534804339076,0.2881588901632465,0.002234407996462378,0.8047172546713821,3.092217544057109e-11,0.040938544523253476,3.5606889237431004e-07,0.1903540177907809,0.5944424209992191,0.7991218789956527,0.79097295782114,0.40817827989516303,0.1867553238897163,2.9721296766532635e-06,0.31483043859184046,0.3023235040862999,0.0009420201775778827,0.9974037751464049,,6.020742200392249e-07,5.069243144234248e-07,0.25790947496906247,0.004896989685879598
LizAtlas.R_PMv,0.5191956366562299,0.45016534804339076,0.007634923681697743,0.4921711698443392,0.9212177921416028,0.08138764451721214,0.92734781698387,0.14089041337900923,0.009662650467955058,0.0021021325278752665,7.288204213683818e-09,0.22329070263330175,0.3900008223888878,0.932043540277428,0.3499108576649689,0.8666780856094092,0.01475382616262424,0.1614498980223822,0.824663306432611,0.0011414143984178715,0.43585298289286634,0.4658467451347076,0.0236017435580117,6.020742200392249e-07,,0.7214162200678572,0.2704595153168236,0.03184872860577531
LizAtlas.R_SMA,0.10269874330822203,0.0013402916807951448,0.024274181997067365,0.22262258468231388,7.744096087229654e-13,0.005613034434062299,0.3971573899715405,1.4550918905776258e-10,0.9212177921416028,3.1759841063540817e-06,0.9774396464065412,7.744096087229654e-13,0.9974037751464049,0.10147178221981665,0.024274181997067365,0.013185333935388564,0.824663306432611,0.3499108576649689,2.8680560090260874e-11,0.0009061526442080658,0.23016806301183163,9.311692366267654e-08,0.20691256567406452,5.069243144234248e-07,0.7214162200678572,,0.22262258468231388,0.1903540177907809
LizAtlas.R_STN,0.3255300710238704,0.9671374399004797,0.36213996435294343,0.8010436516839471,0.5736816041098257,0.929356220739765,0.929356220739765,0.79097295782114,0.7270554883293495,0.9066397434883777,0.9255816437913629,0.5012637457682798,0.08777802997309658,0.3381808248527285,0.7907609195018509,0.29165488372770443,0.35329026564009436,0.5836729758048291,0.03108519063661864,0.662054018497267,0.10261355628191246,0.9974037751464049,0.8642379052771136,0.25790947496906247,0.2704595153168236,0.22262258468231388,,0.05847989964547407
LizAtlas.R_ThalVL,0.2972792578075842,0.061588488549779094,0.7907609195018509,0.01279442376855521,0.2708823419099475,0.6505130381909899,0.25790947496906247,0.34503927262716344,0.43736966960755747,0.025425827062117115,0.2704595153168236,0.07760410319963958,0.09588744418800851,2.9721296766532635e-06,0.21786094182763843,0.09702300576276277,0.33240103636249996,0.5813905331738637,0.1738987461668261,0.2501847760059861,0.41356358064685883,0.5637093596949043,0.10435090011678012,0.004896989685879598,0.03184872860577531,0.1903540177907809,0.05847989964547407,
